"Time","Room.mean"
2025-03-07 21:00:00,
2025-03-07 21:30:00,
2025-03-07 22:00:00,
2025-03-07 22:30:00,
2025-03-07 23:00:00,
2025-03-07 23:30:00,
2025-03-08 00:00:00,
2025-03-08 00:30:00,
2025-03-08 01:00:00,
2025-03-08 01:30:00,
2025-03-08 02:00:00,
2025-03-08 02:30:00,
2025-03-08 03:00:00,
2025-03-08 03:30:00,
2025-03-08 04:00:00,
2025-03-08 04:30:00,
2025-03-08 05:00:00,
2025-03-08 05:30:00,
2025-03-08 06:00:00,
2025-03-08 06:30:00,
2025-03-08 07:00:00,
2025-03-08 07:30:00,
2025-03-08 08:00:00,
2025-03-08 08:30:00,
2025-03-08 09:00:00,
2025-03-08 09:30:00,
2025-03-08 10:00:00,
2025-03-08 10:30:00,
2025-03-08 11:00:00,
2025-03-08 11:30:00,
2025-03-08 12:00:00,
2025-03-08 12:30:00,
2025-03-08 13:00:00,
2025-03-08 13:30:00,8.17 %H
2025-03-08 14:00:00,8.08 %H
2025-03-08 14:30:00,7.96 %H
2025-03-08 15:00:00,7.93 %H
2025-03-08 15:30:00,8.01 %H
2025-03-08 16:00:00,8.03 %H
2025-03-08 16:30:00,7.99 %H
2025-03-08 17:00:00,7.73 %H
2025-03-08 17:30:00,7.71 %H
2025-03-08 18:00:00,7.66 %H
2025-03-08 18:30:00,7.62 %H
2025-03-08 19:00:00,7.64 %H
2025-03-08 19:30:00,7.69 %H
2025-03-08 20:00:00,7.72 %H
2025-03-08 20:30:00,7.62 %H
2025-03-08 21:00:00,7.53 %H
2025-03-08 21:30:00,7.86 %H
2025-03-08 22:00:00,8.04 %H
2025-03-08 22:30:00,8.09 %H
2025-03-08 23:00:00,8.17 %H
2025-03-08 23:30:00,8.35 %H
2025-03-09 00:00:00,8.48 %H
2025-03-09 00:30:00,8.49 %H
2025-03-09 01:00:00,8.56 %H
2025-03-09 01:30:00,8.65 %H
2025-03-09 03:00:00,8.83 %H
2025-03-09 03:30:00,8.86 %H
2025-03-09 04:00:00,9.14 %H
2025-03-09 04:30:00,9.12 %H
2025-03-09 05:00:00,9.20 %H
2025-03-09 05:30:00,9.22 %H
2025-03-09 06:00:00,9.19 %H
2025-03-09 06:30:00,9.11 %H
2025-03-09 07:00:00,9.04 %H
2025-03-09 07:30:00,8.83 %H
2025-03-09 08:00:00,8.81 %H
2025-03-09 08:30:00,8.88 %H
2025-03-09 09:00:00,9.04 %H
2025-03-09 09:30:00,9.24 %H
2025-03-09 10:00:00,9.18 %H
2025-03-09 10:30:00,9.07 %H
2025-03-09 11:00:00,8.99 %H
2025-03-09 11:30:00,8.90 %H
2025-03-09 12:00:00,8.81 %H
2025-03-09 12:30:00,8.74 %H
2025-03-09 13:00:00,8.89 %H
2025-03-09 13:30:00,9.26 %H
2025-03-09 14:00:00,9.61 %H
2025-03-09 14:30:00,9.84 %H
2025-03-09 15:00:00,9.91 %H
2025-03-09 15:30:00,10.0 %H
2025-03-09 16:00:00,10.0 %H
2025-03-09 16:30:00,10.2 %H
2025-03-09 17:00:00,10.3 %H
2025-03-09 17:30:00,10.5 %H
2025-03-09 18:00:00,10.7 %H
2025-03-09 18:30:00,10.8 %H
2025-03-09 19:00:00,10.9 %H
2025-03-09 19:30:00,11.0 %H
2025-03-09 20:00:00,11.2 %H
2025-03-09 20:30:00,11.2 %H
2025-03-09 21:00:00,11.3 %H
2025-03-09 21:30:00,11.2 %H
2025-03-09 22:00:00,11.1 %H
2025-03-09 22:30:00,11.1 %H
2025-03-09 23:00:00,11.0 %H
2025-03-09 23:30:00,10.6 %H
2025-03-10 00:00:00,10.4 %H
2025-03-10 00:30:00,10.2 %H
2025-03-10 01:00:00,10.2 %H
2025-03-10 01:30:00,10.2 %H
2025-03-10 02:00:00,10.3 %H
2025-03-10 02:30:00,10.5 %H
2025-03-10 03:00:00,10.6 %H
2025-03-10 03:30:00,10.7 %H
2025-03-10 04:00:00,10.8 %H
2025-03-10 04:30:00,10.8 %H
2025-03-10 05:00:00,10.8 %H
2025-03-10 05:30:00,10.7 %H
2025-03-10 06:00:00,10.7 %H
2025-03-10 06:30:00,10.9 %H
2025-03-10 07:00:00,10.9 %H
2025-03-10 07:30:00,10.9 %H
2025-03-10 08:00:00,11.1 %H
2025-03-10 08:30:00,11.2 %H
2025-03-10 09:00:00,11.4 %H
2025-03-10 09:30:00,11.8 %H
2025-03-10 10:00:00,12.3 %H
2025-03-10 10:30:00,12.8 %H
2025-03-10 11:00:00,13.2 %H
2025-03-10 11:30:00,13.5 %H
2025-03-10 12:00:00,13.1 %H
2025-03-10 12:30:00,13.1 %H
2025-03-10 13:00:00,13.3 %H
2025-03-10 13:30:00,13.3 %H
2025-03-10 14:00:00,13.4 %H
2025-03-10 14:30:00,12.8 %H
